question,answer
What is the timeline for applying ?,View application deadlines.
How will my application be evaluated ?,"Each application received is reviewed in depth by the Admissions Board.  When selecting students we put an emphasis on leadership potential, strong academic ability, and personal qualities and characteristics.  Find out more."
"In which part of the application may I enter additional information, including special circumstances ?",Please enter important information that you want the Board to know in the Additional Information section of the application. 
How do I add new information if I have already submitted my application ?,"Once the application has been submitted, the Admissions Board is unable to accept application updates other than contact updates.  If invited to interview, applicants may inform the Board of updates at that time. "
Does the reputation / history of my undergraduate institution or company affect my chances of being accepted ?,"Our goal is to admit a class that offers a variety of perspectives. Therefore, we carefully consider individuals from a wide spectrum of academic and work experiences."
"When I print the application in PDF format, parts of the application appear truncated, unclear and / or do not appear at all. Are these parts seen by the Admissions Board ? ",The Admissions Office receives the entire application in appropriate format and all fields are viewed clearly by the Board. The document that the applicant can view is an unformatted version of the final document.
What is the desired length of work experience you wish to see in candidates ?,"The HBS MBA Program is designed for students who have full-time work experience before matriculation. College seniors are encouraged to apply through the 2+2 online application in the expectation that they will be offered ""deferred admission"", i.e. an offer of admission to a future class conditional upon acquiring full-time work experience, as a positive outcome. It is important for candidates to assess their own readiness when deciding to apply: there is no universal ""right"" time."
What constitutes work experience ?,Work experience includes opportunities in which students have been able to develop their professional and leadership skills. 
Are there specific types of work experience that will make me a more attractive candidate ?,"Rather than focus on specific categories of work experiences, applicants should focus on their roles, responsibilities, and what they have learned from the types of work experiences that they have been involved in. The Admissions Board will look at the nature of the applicant's work experience when evaluating the applicants' ability to handle the academic rigor of our MBA program."
Who should recommendations come from ? ,"The Admissions Board suggests that one recommendation should come from a current or recent supervisor, if possible. Recommenders should be individuals who know the candidate well and who can attest to the candidate's leadership ability."
What is the process for recommenders ?,Candidates enter recommenders' names and email addresses into their online application. Recommenders then receive an email with a link to their recommendation. The recommendations are submitted separately from the candidates' application and will automatically be included in the application upon submission. Applicants should not wait for recommenders to submit their recommendations before submitting their applications.
Is the recommendation deadline the same as the application deadline ? ,Applicants should submit their applications as soon as they feel ready. Recommendations are submitted separately by the recommenders. Please bear in mind that it is the applicant's responsibility to ensure that all recommendations are submitted online by the deadline date for the round in which the applicant is applying.
When should I expect an invitation for an interview ?,Interview invitations are extended on a rolling basis. The timing of your interview does not imply anything about the status of your application nor does it impact your candidacy. Invitations to interview are a positive indicator no matter when you receive them.
What should I expect for my interview ?,Your interview will last approximately 30 minutes and will be conducted by a member of the MBA Admissions Board.  Interviews may take place in-person or via Skype. 
How can I best prepare ? ,The purpose of the interview is to better understand you as an MBA candidate for our program.  We encourage candidates to relax and be ready to talk about themselves.
How can I learn more about the Post Interview Reflection ?,Details for the Post Interview Reflection will be emailed to candidates who participate in the interview process. Candidates must submit their essay via our online application. Essays must be submitted within 24 hours of interview completion.
Who should I contact if I have a question regarding my application status ?,Any questions you have should be submitted to us via our online form at the top of this FAQ page.
When and how can I expect to hear back from HBS ? ,Notification dates are set according to each round. View dates.
Will HBS provide feedback for applicants who have been rejected ?,"Due to the large number of applications we receive each year, we cannot accommodate requests for personalized feedback on your application.  We receive over 8,000 applications for approximately 900 places in the class, and therefore have to deny admission to many exceptional individuals.  Also, please understand that the decision of the Admissions Board is final, and we cannot advise you on whether or not you should reapply in the future.  "
How long can I defer my acceptance ?,Candidates should submit applications only for the year they plan to enter the MBA program. Postponements and deferrals are granted rarely and are considered on a case-by-case basis.
What is the application fee ?,The application fee for the 2+2 Program application is $100. All active duty military applicants do not have to pay the application fee. 
Am I eligible to apply to the 2+2 Program ?,"To be considered for admission to the 2+2 Program Class of 2022 (entering fall 2020), you must graduate from your program between October 1, 2017 and September 30, 2018. For more information on applying to the 2+2 Program, please see the 2+2 Application page."
What Round should I apply in for 2+2 ?,You can only apply in the designated 2+2 Round.
I am in the process of getting a master’s degree. Am I eligible for the 2+2 program ?,"Yes. Candidates in the process of completing a master’s degree are eligible for the 2+2 program, as long as you did not take a full-time job in between your undergraduate and master’s degree programs."
Are international students eligible to apply to the 2+2 Program ?,Yes. Domestic and international students alike are welcome to apply. 
"Is an interview required for admission to the 2+2 Program ? If so, what should I expect from the interview process ?","Yes. Interviews are conducted by invitation only and at the discretion of the MBA Admissions Board. If you are invited to interview, you must participate in order to complete the application process. We do not admit anyone to HBS without an interview; however, we do not interview all applicants. "
How many seats are available in the 2+2 program ?,"We expect the 2+2 cohort size to be in the 100-125 range. Roughly half of each cohort will be students coming from engineering and science backgrounds while the other half will represent a wide range of undergraduate studies. For more information about the size and composition of the 2+2 Class, please see the 2+2 Program  page."
Which standardized tests does the 2+2 Program accept ?,The 2+2 Program accepts either the GMAT or the GRE as part of the application process. We do not have a preference for either test.
When is the latest I can take the GMAT or GRE ?,"You must take the GMAT or GRE by April 10, 2018. Unofficial scores are acceptable at the time of application, but every applicant must request to have their official score submitted to HBS. You do not need to have the results of the AWA section of the GMAT or GRE in order to apply; however, we do expect you to complete this portion of the exam and we will require an AWA score for anyone admitted to the program."
"My undergraduate concentration is in a business-related field, and I have had a lot of business exposure. Is 2+2 the right program for me ?","When the 2+2 Program was originally created it primarily targeted students who were not already on a business track (i.e. students studying the liberal arts, sciences, engineering, etc.). However, we are now encouraging students from all undergraduate majors to apply; that includes those with concentrations and experiences in business-related fields."
"Can I apply to the 2+2 Program if I am interested in pursuing a joint degree (MBA / MPP or MPA-ID, MBA / JD, MBA / MD, MBA / DMD, etc.) ?","Applicants to the 2+2 Program who are considering a joint degree should contact our partner schools (Harvard Kennedy School, Harvard Law School, Harvard Medical School, Harvard School of Dental Medicine) for more information about the degrees offered. To be eligible for a joint degree program, you must be admitted separately to both Harvard schools. We cannot counsel applicants about the suitability of a particular joint degree program or how it may impact your future career goals. If you are admitted to the 2+2 Program and wish to pursue a joint degree program, we will work with you to determine how your plans can meet the 2+2 work experience expectations. More details will be offered after you are admitted. For more information about the joint degree programs offered by HBS, go to the Joint Degree Programs section on the HBS website. "
How many letters of recommendation are required ?,We require two letters of recommendation as part of the 2+2 Program application process.
Who should my recommendations come from ?,"Recommenders should be individuals who know you well and who can relate specific and relevant details about your abilities and performance. We believe that supervisors from an internship or part-time work experience, professors, advisors, and mentors can all serve as equally good recommenders. The Admissions Board discourages recommendations from peers."
"If I apply to the 2+2 Program and I'm not admitted, will it negatively affect my chances of acceptance to Harvard Business School in the future ?","No. If you have applied to the 2+2 Program, you will be at neither an advantage nor disadvantage in comparison to other applicants."
"If admitted, am I expected to pay a tuition deposit ?",Yes. Admitted students pay a non-refundable tuition deposit of $1000 to hold their place in the class.
Will the 2+2 program guarantee me a job after graduation ?,No. You are responsible for securing employment for at least two years after graduating from your undergraduate institution. You are expected to leverage the career services offered at your undergraduate institution as a primary resource.
